t,i
55807892,2091
55808441,2091
55809051,4
55809601,4
55810272,5
55810791,5
55811340,-1
55812042,0
55812591,0
55813263,-2
55813904,-2
55814514,-4
55815216,4927
55815826,4927
55816376,1747
55817016,1747
55817535,2454
55818176,2454
55818725,594
55819275,-1
55820038,-1
55820648,-5
55821350,-5
55822143,-7
55822784,-11
55823456,-11
55824127,-6
55824859,4178
55825409,4178
55825928,1749
55826538,1749
55827148,2142
55827698,2024
55828277,2024
55828888,-9
55829559,-9
55830292,-1
55831055,8
55831573,8
55832214,3
55832855,3
55833435,0
55834015,-101
55834656,-101
55835358,4863
55835968,4863
55836548,1838
55837097,1838
55837646,2457
55838196,617
55838775,617
55839355,-3
55840118,-3
55840851,-2
55841492,-10
55842285,-10
55842865,-4
55843536,0
55844116,0
55844696,4437
55845276,4437
55845947,1704
55846496,1704
55847015,2056
55847565,2056
55848083,2042
55848633,2042
55849213,6
55849792,-8
55850494,-8
55851196,0
55851745,0
55852356,5
55852905,22
55853607,22
55854217,9
55854736,9
55855377,5001
55855896,5001
55856445,1908
55857056,1908
55857605,2494
55858307,539
55858856,539
55859405,1
55860016,1
55860535,0
55861084,0
55861633,-3
55862305,-3
55863006,0
55863525,-2
55864197,-2
55864868,4555
55865417,4555
55866058,1727
55866608,1980
55867309,1980
55867920,1947
55868439,1947
55869049,11
55869598,11
55870209,-1
55870972,-1
55871673,-1
55872345,0
55872864,0
55873413,-1
55874084,-6
55874756,-6
55875397,5398
55876007,5398
55876556,1825
55877167,2575
55877685,2575
55878265,391
55878876,391
55879425,-2
55880127,-2
55880890,0
55881439,-4
55882110,-4
55882843,-17
55883514,-1
55884216,-1
55884857,4321
55885437,4321
55886017,1718
55886627,2106
55887268,2106
55887848,1734
55888428,1734
55889038,4
55889557,4
55890106,-5
55890747,-5
55891479,-1
55892181,10
55892700,10
55893310,-4
55893982,0
55894531,0
55895111,5354
55895752,5354
55896423,1881
55897064,1881
55897613,2528
55898254,347
55898804,347
55899383,4
55900024,4
55900604,0
55901214,0
55901855,-12
55902618,-14
55903320,-14
55903992,-10
55904693,4391
55905304,4391
55905853,1612
55906433,1612
55907013,2154
55907623,1797
55908203,1797
55908691,1
55909302,1
55909851,0
55910461,0
55911011,0
55911590,0
55912262,-2
55912872,-7
55913513,-7
55914215,1
55914825,1
55915405,5223
55916077,1708
55916595,1708
55917267,2422
55917847,2422
55918426,419
55918945,419
55919494,-3
55920105,-3
55920746,-9
55921478,-13
55922180,-13
55922790,-5
55923431,1
55924042,1
55924560,4563
55925110,4563
55925720,1732
55926300,1732
55926819,1997
55927368,1997
55927887,1752
55928467,1752
55929046,1
55929596,1
55930267,-7
55930939,-1
55931579,-1
55932342,-6
55932983,8
55933502,8
55934112,-38
55934784,-38
55935486,5118
55936127,1792
55936706,1792
55937347,2472
55937897,2472
55938446,323
55939056,323
55939606,-4
55940338,4
55940918,4
55941528,-18
55942230,-18
55942901,-7
55943512,-13
55944214,-13
55944916,4611
55945434,4611
55946014,1768
55946594,2138
55947265,2138
55947784,1790
55948425,1790
55949036,10
55949646,10
55950256,-7
55950928,0
55951477,0
55952026,-5
55952637,-5
55953277,-3
55953918,-15
55954529,-15
55955200,5498
55955749,5498
55956360,1813
55956940,1813
55957519,2480
55958160,346
55958740,346
55959320,0
55959930,0
55960480,-1
55961090,-1
55961792,-1
55962433,2
55963013,2
55963562,-2
55964203,-2
55964783,4358
55965393,4358
55965942,1619
55966522,2103
55967163,2103
55967682,1592
55968262,1592
55968750,15
55969391,15
55969971,-1
55970611,-1
55971313,13
55971893,17
55972504,17
55973022,-15
55973633,-15
55974304,3
55974914,3
55975433,5001
55976013,1974
55976593,1974
55977264,2402
55977844,2402
55978454,163
55979034,163
55979645,-3
55980347,-4
55981048,-4
55981720,-2
55982391,0
55982910,0
55983459,-27
55984253,-27
55984924,4373
55985504,1692
55986023,1692
55986572,2008
55987091,2008
55987701,1671
55988281,1671
55988922,3
55989441,3
55990051,-10
55990661,-10
55991333,1
55992035,-1
55992706,-1
55993378,-5
55993988,-7
55994690,-7
55995361,5560
55996033,1964
55996612,1964
55997314,2488
55997925,2488
55998474,239
55999023,239
55999542,-1
56000275,-4
56001037,-4
56001709,-4
56002411,4
56003052,4
56003570,14
56004272,14
56004852,4413
56005463,1691
56006012,1691
56006531,2081
56007141,2081
56007751,1613
56008392,1613
56008942,9
56009491,9
56010162,4
56010773,1
56011322,1
56011902,-8
56012512,-8
56013275,-2
56013885,13
56014435,13
56015045,5153
56015655,5153
56016205,1937
56016785,1937
56017364,2428
56018066,245
56018585,245
56019256,-3
56020050,-3
56020660,-1
56021393,-7
56022003,-7
56022766,-6
56023407,16
56024017,16
56024536,4822
56025177,4822
56025757,1714
56026367,1714
56026947,2234
56027496,2234
56028015,1651
56028595,-2
56029327,-2
56030029,1
56030548,1
56031189,6
56031769,2
56032348,2
56032989,-7
56033600,-7
56034332,-16
56035004,5307
56035583,5307
56036255,1922
56036804,1922
56037353,2467
56037903,2467
56038513,-24
56039276,-1
56040069,-1
56040771,-3
56041412,-7
56042114,-7
56042786,-3
56043457,-2
56044067,-2
56044739,4912
56045349,4912
56046081,1682
56046600,2094
56047241,2094
56047851,1479
56048462,1479
56049011,5
56049652,-2
56050323,-2
56051086,9
56051636,9
56052215,-7
56052856,-4
56053528,-4
56054260,6
56054932,5490
56055481,5490
56056030,1803
56056610,1803
56057220,2514
56057892,2514
56058472,19
56059021,19
56059540,0
56060211,-5
56060821,-5
56061462,2
56062042,2
56062591,-1
56063324,-13
56063995,-13
56064697,4629
56065307,4629
56065796,1426
56066376,1426
56066925,2082
56067505,1325
56068024,1325
56068573,0
56069092,0
56069610,3
56070221,3
56070770,-4
56071472,-4
56072174,1
56072693,1
56073273,-12
56074036,-11
56074768,-11
56075531,5613
56076111,1964
56076782,1964
56077362,2521
56077881,2521
56078461,60
56079040,-2
56079681,-2
56080322,3
56080871,3
56081451,-5
56082123,-5
56082794,-4
56083435,-18
56084167,-18
56084869,4859
56085419,1584
56086029,1584
56086609,2355
56087219,2355
56087860,1429
56088409,1429
56089050,14
56089599,4
56090271,4
56090851,1
56091431,1
56092041,-4
56092743,0
56093323,0
56093811,-13
56094452,-13
56095215,5619
56095795,5619
56096405,1920
56097076,2434
56097595,2434
56098266,-36
56099060,2
56099609,2
56100250,0
56100769,0
56101318,-4
56102020,-4
56102630,-7
56103332,1
56104034,1
56104614,4665
56105255,4665
56105804,1560
56106415,2141
56107056,2141
56107605,1222
56108307,1222
56108826,-1
56109466,-1
56110077,2
56110626,1
56111206,1
56111786,-6
56112427,-6
56113129,-9
56113800,-1
56114532,-1
56115265,5391
56115936,1941
56116485,1941
56117035,2437
56117615,2437
56118255,8
56118835,8
56119446,-1
56120148,-3
56120819,-3
56121460,-12
56122192,-4
56122803,-4
56123474,5
56124023,5
56124542,5009
56125213,5009
56125824,1725
56126373,2227
56126984,2227
56127533,1184
56128174,1184
56128754,4
56129364,4
56129913,-1
56130676,5
56131317,5
56131927,5
56132507,5
56133026,4
56133545,4
56134094,786
56134613,786
56135254,3892
56135773,3892
56136383,1946
56136902,2252
56137451,2252
56138061,-2
56138733,-2
56139404,-4
56140106,-5
56140777,-5
56141418,-1
56142120,-1
56142761,-8
56143432,4
56144012,4
56144562,5104
56145202,5104
56145721,1575
56146301,1575
56146911,2228
56147522,1096
56148041,1096
56148620,6
56149261,6
56149872,1
56150421,1
56150940,11
56151520,11
56152161,6
56152710,-3
56153351,-3
56154022,2437
56154541,2437
56155182,2174
56155792,2174
56156341,1941
56156891,2185
56157440,2185
56158020,-31
56158691,-31
56159332,0
56159881,0
56160431,-3
56161102,0
56161682,0
56162262,-5
56162933,-5
56163605,-12
56164337,4939
56164856,4939
56165405,1628
56166015,1628
56166595,2237
56167297,2237
56167786,964
56168396,964
56168945,6
56169525,-3
56170257,-3
56170959,-2
56171570,-2
56172211,13
56172760,-4
56173401,-4
56174103,1644
56174713,1644
56175354,2899
56175903,1954
56176452,1954
56177063,2136
56177612,2136
56178284,-34
56178955,-34
56179657,-9
56180359,-1
56181030,-1
56181702,-9
56182403,-4
56183166,-4
56183899,13
56184448,5237
56185028,5237
56185577,1701
56186188,1701
56186798,2262
56187347,2262
56187988,740
56188629,4
56189209,4
56189697,-1
56190430,-1
56191131,1
56191681,-2
56192413,-2
56193085,18
56193634,18
56194275,-2
56194946,-29
56195557,-29
56196289,-124
56196991,-85
56197662,-85
56198334,18
56198913,18
56199493,-9
56200104,3
56200683,3
56201324,-10
56202057,-10
56202759,-3
56203400,-6
56204101,-6
56204803,-24
56205475,-52
56206085,-52
56206756,-97
56207458,-10
56208160,-10
56208771,0
56209350,0
56209930,-6
56210602,-3
56211334,-3
56212067,-8
56212799,8
56213348,8
56213898,7
56214447,7
56215057,-156
56215759,-156
56216431,-48
56217102,-66
56217834,-66
56218567,-1
56219208,-9
56219818,-9
56220459,2
56221069,-13
56221802,-13
56222442,-13
56223083,-13
56223755,0
56224365,-4
56225036,-4
56225708,-35
56226379,-3
56226990,-3
56227630,-11
56228332,-11
56229065,-7
56229675,4
56230255,4
56230774,-3
56231415,-3
56232178,-3
56232849,0
56233459,0
56234009,-1
56234680,-1
56235290,-78
56235931,-9
56236542,-9
56237213,36
56237793,36
56238403,6
56238983,-3
56239624,-3
56240356,0
56240936,0
56241485,-7
56242126,-5
56242767,-5
56243469,-6
56244171,-6
56244781,0
56245361,-62
56246063,-62
56246734,-118
56247375,-2
56248077,-2
56248810,6
56249359,6
56250091,-4
56250702,5
56251221,5
56251831,8
56252411,8
56252930,-9
56253601,-9
56254303,-5
56255035,-53
56255768,-53
56256409,-53
56257049,32
56257660,32
56258209,14
56258758,14
56259369,-1
56260040,0
56260589,0
56261322,-3
56262024,-3
56262634,-7
56263306,-8
56264007,-8
56264618,-10
56265350,-48
56266083,-48
56266693,-209
56267364,-14
56268066,-14
56268677,8
56269317,8
56269806,1
56270386,1
56270904,-6
56271606,17
56272278,17
56272858,5
56273437,5
56274078,1
56274628,1
56275268,-12
56275940,-10
56276642,-10
56277313,-24
56278015,3
56278564,3
56279144,-1
56279785,-1
56280426,0
56281006,-4
56281616,-4
56282348,0
56283050,0
56283661,1
56284210,-14
56284881,-14
56285522,-48
56286255,-48
56286865,-110
56287506,-37
56288208,-37
56288818,-2
56289520,-3
56290253,-3
56290893,2
56291443,2
56292023,0
56292633,-3
56293335,-3
56294006,-3
56294617,-3
56295349,-66
56296173,-206
56296875,-9
56297638,-9
56298340,-14
56299164,2
56299805,2
56300415,-6
56301178,-10
56301819,-10
56302521,-3
56303192,14
56303772,14
56304413,6
56304993,6
56305664,-18
56306335,14
56306915,14
56307495,-9
56308105,-9
56308838,-1
56309570,2
56310181,2
56310760,14
56311340,14
56311951,11
56312500,11
56313019,-21
56313660,-7
56314300,-7
56314941,-155
56315643,-155
56316315,-203
56316955,-121
56317566,-121
56318176,-15
56318939,-7
56319549,-7
56320282,-6
56321045,-3
56321686,-3
56322388,-9
56323181,1
56323761,1
56324371,-3
56325043,-3
56325775,-4
56326446,-10
56327026,-10
56327698,-12
56328338,5
56329040,5
56329620,-11
56330353,-11
56331024,6
56331604,7
56332275,7
56332764,4
56333404,4
56334015,-5
56334686,-157
56335358,-157
56336182,-90
56336883,-149
56337524,-149
56338257,-1
56338928,-4
56339538,-4
56340210,-1
56340881,-1
56341553,-1
56342285,-4
56343048,5
56343597,5
56344269,-14
56345062,-14
56345703,-263
56346405,-234
56347168,-234
56347809,-38
56348511,2
56349029,2
56349548,3
56350159,3
56350769,2
56351318,2
56351868,10
56352417,10
56353027,9
56353607,-7
56354339,-7
56355041,-81
56355682,-29
56356384,-29
56357147,-23
56357910,9
56358459,9
56359070,-1
56359680,-1
56360321,-2
56361023,-4
56361633,-4
56362335,-9
56362945,-9
56363556,-7
56364288,-7
56365021,-7
56365723,-140
56366394,-84
56367096,-84
56367767,-60
56368469,7
56369079,7
56369629,3
56370209,3
56370788,-4
56371429,-4
56372162,0
56372681,0
56373260,0
56373779,1
56374328,1
56374939,-34
56375610,-34
56376343,-1
56377167,-143
56377869,-5
56378601,-5
56379364,0
56380066,-2
56380707,-2
56381348,-2
56382019,-11
56382629,-11
56383301,3
56383819,3
56384369,-10
56385040,-10
56385742,-33
56386383,-16
56387085,-16
56387787,1
56388367,4
56388946,4
56389496,-1
56390106,-1
56390777,-1
56391479,11
56392059,11
56392609,3
56393280,3
56393799,-1
56394409,-1
56395050,-215
56395691,-164
56396332,-164
56397064,-78
56397796,-2
56398407,-2
56398987,-5
56399689,-5
56400299,-9
56400940,-19
56401611,-19
56402344,-5
56403015,-11
56403656,-11
56404327,1
56404877,1
56405426,-8
56406128,-8
56406891,9
56407471,0
56408050,0
56408600,-2
56409363,4
56409942,4
56410492,-3
56411133,-3
56411713,-11
56412384,-11
56413177,9
56413727,24
56414307,24
56414886,-312
56415558,-312
56416260,-302
56416870,-81
56417480,-81
56418121,-7
56418762,-7
56419433,0
56420013,-3
56420776,-3
56421417,-6
56422211,0
56422760,0
56423309,-11
56423920,-11
56424621,6
56425262,-8
56425934,-8
56426605,-97
56427368,-94
56428161,-94
56428802,3
56429413,-5
56430023,-5
56430633,-1
56431335,-1
56432007,7
56432617,-9
56433349,-9
56434173,-3
56434814,-37
56435486,-37
56436127,-120
56436828,-57
56437530,-57
56438202,1
56438751,1
56439392,-1
56440094,0
56440643,0
56441284,-10
56442047,-3
56442688,-3
56443329,-15
56444092,-9
56444763,-9
56445434,-136
56446045,-136
56446655,-168
56447388,-66
56448028,-66
56448730,5
56449310,5
56449829,5
56450378,8
56450897,8
56451507,-3
56452209,-3
56452942,6
56453491,-2
56454193,-2
56454803,1
56455383,1
56455963,-31
56456665,-9
56457306,-9
56458038,-1
56458771,-1
56459411,1
56460022,-8
56460724,-8
56461426,-3
56462128,-9
56462768,-9
56463440,-6
56464172,6
56464783,6
56465393,-98
56466064,-98
56466675,-60
56467346,-5
56468170,-5
56468933,-7
56469543,-5
56470215,-5
56470856,-1
56471496,5
56472107,5
56472656,-7
56473358,-7
56473999,-2
56474640,-33
56475342,-33
56475952,-212
56476654,-72
56477325,-72
56478027,14
56478546,14
56479187,9
56479767,9
56480316,-5
56480957,-1
56481598,-1
56482208,-3
56482849,-3
56483490,-3
56484161,-4
56484802,-4
56485504,-48
56486206,-30
56486816,-30
56487488,-1
56498199,-5
56498871,-7
56499542,-7
56500213,1
56500793,1
56501343,-16
56502045,-4
56502685,-4
56503357,-1
56504089,-3
56504761,-3
56505493,3
56506042,3
56506592,-26
56507202,0
56507751,0
56508423,-5
56509094,-5
56509796,-1
56510437,2
56510956,2
56511505,7
56512054,7
56512604,-3
56513367,-3
56514130,-19
56514831,-91
56515472,-91
56516174,-182
56516815,-106
56517456,-106
56518127,-2
56518768,4
56519409,4
56519958,1
56520538,1
56521179,-4
56521789,-4
56522430,-11
56523132,-8
56523804,-8
56524444,-2
56525116,-80
56525757,-80
56526428,-182
56527038,-182
56527649,-46
56528351,-1
56529022,-1
56529663,11
56530212,11
56530762,6
56531402,0
56532013,0
56532623,3
56533325,3
56533905,2
56534454,2
56535065,-47
56535766,-53
56536407,-53
56537170,-124
56537933,4
56538452,4
56539062,1
56539612,1
56540283,-2
56540954,-1
56541565,-1
56542267,-5
56542908,-22
56543548,-22
56544281,-28
56544952,-28
56545593,-147
56546356,-173
56547088,-173
56547729,-42
56548431,-11
56549164,-11
56549805,-4
56550445,3
56550964,3
56551483,8
56552032,8
56552643,6
56553314,6
56553863,-6
56554535,-1
56555206,-1
56555847,-19
56556640,4
56557281,4
56557892,6
56558441,6
56559021,-7
56559631,-7
56560333,-1
56561005,-4
56561706,-4
56562378,-8
56563019,2
56563568,2
56564209,12
56564789,12
56565369,-18
56566009,-18
56566711,-35
56567413,-26
56568085,-26
56568756,-7
56569397,3
56570007,3
56570557,-6
56571197,-6
56571869,0
56572418,-8
56573181,-8
56573822,-1
56574463,-68
56575165,-68
56575897,-112
56576568,-199
56577331,-199
56578064,4
56578613,4
56579285,-13
56579956,-3
56580627,-3
56581329,-11
56581940,-8
56582611,-8
56583343,-2
56584167,-1
56584808,-1
56585510,-131
56586120,-106
56586761,-106
56587402,-4
56588104,-4
56588867,-3
56589538,-3
56590179,-3
56590881,-3
56591522,17
56592041,17
56592560,-14
56593292,-14
56593994,3
56594635,-115
56595337,-115
56596008,-193
56596680,-205
56597351,-205
56598022,-8
56598694,2
56599274,2
56599823,-7
56600464,-7
56601166,-12
56601807,-4
56602447,-4
56603119,-1
56603760,-1
56604462,0
56605072,-4
56605713,-4
56606415,-78
56607117,-5
56607788,-5
56608459,11
56609070,11
56609711,-5
56610443,-4
56611175,-4
56611816,6
56612427,15
56613067,15
56613617,17
56614166,17
56614807,-87
56615448,-87
56616180,-120
56616791,-122
56617432,-122
56618164,5
56618683,-1
56619385,-1
56620056,3
56620605,3
56621216,-2
56621918,-6
56622589,-6
56623199,-3
56623810,-3
56624481,-12
56625091,-43
56625763,-43
56626465,-1
56627167,-171
56627807,-171
56628448,2
56629028,2
56629547,-7
56630310,1
56630920,1
56631531,2
56632049,2
56632660,7
56633179,7
56633697,-6
56634399,-43
56635162,-43
56635864,-9
56636597,-2
56637207,-2
56637848,-2
56638519,-2
56639221,-1
56639923,-3
56640594,-3
56641357,-3
56642181,-3
56642792,-3
56643463,2
56644073,3
56644592,3
56645294,-90
56645935,-90
56646606,-134
56647369,-128
56648163,17
56648712,17
56649261,3
56649811,3
56650360,0
56651001,0
56651550,0
56652130,0
56652771,1
56653351,-1
56654022,-1
56654693,-32
56655304,-32
56655945,-18
56656555,-95
56657287,-95
56658081,-9
56658783,12
56659393,12
56659942,-1
56660644,-1
56661407,-1
56662109,-12
56662842,1
56663421,1
56664032,-16
56664703,-16
56665344,-33
56666168,3
56666687,3
56667267,-16
56667908,-16
56668609,6
56669281,-1
56669922,-1
56670563,-3
56671173,-3
56671875,-1
56672638,-2
56673340,-11
56674072,-11
56674805,-128
56675445,-119
56676056,-119
56676697,-132
56677399,-132
56678161,24
56678741,9
56679321,9
56679870,-3
56680633,-3
56681366,1
56681885,-15
56682556,-15
56683319,1
56683868,-10
56684509,-10
56685211,-9
56685821,-9
56686493,-4
56687164,-43
56687805,-43
56688476,-1
56689178,1
56689728,1
56690277,6
56690948,6
56691498,13
56692047,13
56692596,3
56693115,3
56693725,4
56694366,-49
56695038,-49
56695709,-88
56696350,-88
56697174,-30
56697876,2
56698486,2
56699005,-9
56699707,0
56700317,0
56700867,-2
56701630,-2
56702423,0
56703064,0
56703613,0
56704254,15
56704803,15
56705353,-17
56706024,-49
56706695,-49
56707397,-115
56708008,-115
56708618,-2
56709350,8
56709930,8
56710449,2
56711059,2
56711609,2
56712280,-1
56712952,-1
56713653,-11
56714386,-127
56715088,-127
56715759,-35
56716400,-35
56717102,-72
56717773,5
56718323,5
56718933,-1
56719604,1
56720276,1
56720795,-5
56721405,-5
56722168,-8
56722870,-5
56723511,-5
56724213,3
56724731,3
56725372,-72
56726074,-83
56726776,-83
56727386,-76
56728180,-4
56728912,-4
56729553,-8
56730255,-6
56730896,-6
56731628,11
56732208,7
56732788,7
56733337,-3
56734070,-3
56734772,-19
56735412,-14
56736175,-14
56736938,-21
56737518,-10
56738220,-10
56738922,-3
56739593,-8
56740204,-8
56740814,-3
56741485,-3
56742096,0
56742645,0
56743286,-5
56744049,-9
56744720,-9
56745392,-30
56746124,-80
56746796,-80
56747436,-28
56748169,3
56748688,3
56749298,2
56749847,2
56750427,-3
56751190,5
56751709,5
56752319,-10
56752930,-10
56753601,8
56754272,8
56754822,-3
56755493,-32
56756164,-32
56756805,-258
56757446,-258
56758057,-7
56758667,-1
56759399,-1
56760101,1
56760742,3
56761322,3
56761871,-2
56762634,-2
56763367,-1
56764191,-13
56764831,-118
56765472,-118
56766205,-128
56766846,-128
56767547,-199
56768219,-9
56768860,-9
56769501,3
56770111,-1
56770813,-1
56771545,3
56772186,3
56772735,-4
56773407,6
56773987,6
56774536,-94
56775299,-94
56776031,-225
56776642,-212
56777313,-212
56777954,-1
56778656,2
56779205,2
56779816,0
56780395,0
56781006,-2
56781708,-4
56782348,-4
56783172,-16
56783783,-13
56784454,-13
56785126,0
56785705,0
56786285,-21
56786926,-10
56787628,-10
56788269,2
56788818,2
56789337,13
56789917,13
56790466,-8
56791168,-1
56791809,-1
56792480,6
56793060,6
56793609,-8
56794403,-50
56795166,-50
56795868,-68
56796600,-63
56797272,-63
56798065,-17
56798675,0
56799194,0
56799805,-4
56800415,-4
56801178,-5
56801880,0
56802429,0
56803070,-4
56803772,-12
56804413,-12
56805176,-38
56805939,-148
56806640,-148
56807373,-99
56808166,-9
56808929,-9
56809570,7
56810211,1
56810760,1
56811340,-3
56812042,-3
56812652,11
56813202,-2
56813843,-2
56814514,-99
56815277,-99
56815918,-284
56816498,-27
56817169,-27
56817810,7
56818359,7
56818970,-2
56819671,0
56820190,0
56820770,-8
56821472,-8
56822174,-4
56822876,-9
56823517,-9
56824127,-14
56824798,-98
56825439,-98
56826111,-132
56826813,-132
56827453,-89
56828125,-7
56828796,-7
56829407,-2
56830170,-7
56830871,-7
56831573,5
56832123,5
56832733,-3
56833374,-7
56834045,-7
56834717,-11
56835419,-21
56836029,-21
56836639,-4
56837372,-4
56838165,-4
56838806,0
56839416,0
56839966,0
56840484,0
56841095,-8
56841766,3
56842407,3
56843017,0
56843628,0
56844147,-5
56844818,-112
56845459,-112
56846191,-274
56846832,-274
56847595,-89
56848205,-3
56848846,-3
56849518,-1
56850098,-2
56850769,-2
56851471,6
56852081,6
56852692,2
56853332,-2
56854034,-2
56854767,-32
56855408,-194
56856018,-194
56856628,-107
56857330,-107
56857971,-1
56858612,5
56859283,5
56859833,-3
56860596,-4
56861267,-4
56862060,-5
56862701,3
56863312,3
56863830,-13
56864471,-13
56865204,-20
56865875,-8
56866546,-8
56867218,-84
56867889,-84
56868561,6
56869263,-5
56869934,-5
56870544,-2
56871216,2
56871765,2
56872345,1
56872833,1
56873413,-1
56874084,-1
56874786,-67
56875427,-72
56876098,-72
56876770,-278
56877472,28
56878052,28
56878662,11
56879211,11
56879761,1
56880340,1
56880920,-9
56881592,-13
56882202,-13
56882843,-2
56883484,-2
56884125,-3
56884827,-27
56885559,-27
56886291,-30
56886963,-8
56887634,-8
56888367,-3
56889038,-8
56889648,-8
56890320,-2
56891022,-2
56891754,4
56892364,4
56893066,4
56893646,14
56894256,-17
56894958,-17
56895660,-86
56896393,-46
56897003,-46
56897705,-3
56898346,-3
56899078,-7
56899750,-2
56900390,-2
56901001,-4
56901672,-5
56902374,-5
56903046,-6
56903656,0
56904205,0
56904785,-91
56905426,-91
56906189,-138
56906830,-167
56907471,-167
56908172,8
56908722,8
56909363,5
56909973,5
56910492,-1
56911194,-2
56911896,-2
56912506,1
56913025,1
56913574,-4
56914307,-40
56915069,-40
56915802,-138
56916412,-62
56917023,-62
56917633,20
56918335,20
56918823,3
56919433,-2
56920166,-2
56920776,-3
56921478,-3
56922088,-10
56922790,-14
56923431,-14
56924103,8
56924744,-137
56925415,-137
56926056,21
56926575,21
56927124,-89
56927826,-89
56928467,-1
56929169,3
56929748,3
56930328,-12
56930939,-12
56931640,5
56932281,-3
56932892,-3
56933502,4
56934051,4
56934662,-57
56935303,-1
56935974,-1
56936584,-32
56937256,-32
56937958,1
56938507,-3
56939178,-3
56939789,-4
56940460,-4
56941162,0
56941742,-6
56942444,-6
56943054,-6
56943756,-6
56944397,-6
56945099,-17
56945831,-32
56946503,-32
56947174,-115
56947815,-115
56948456,5
56949036,4
56949585,4
56950104,6
56950653,6
56951202,-4
56951935,-4
56952545,-2
56953338,-10
56954071,-10
56954773,-33
56955414,-127
56956116,-127
56956787,-189
56957458,-31
56958069,-31
56958710,-1
56959411,-6
56960174,-6
56960876,-15
56961517,-15
56962219,-5
56962829,-6
56963501,-6
56964203,6
56964691,-42
56965362,-42
56966186,-34
56966827,-6
56967499,-6
56968201,-4
56968872,-4
56969513,-4
56970215,6
56970764,6
56971344,-5
56972076,1
56972626,1
56973327,-3
56974060,-3
56974792,-44
56975433,-222
56976166,-222
56976837,-190
56977539,-57
56978210,-57
56978851,1
56979400,-1
56980041,-1
56980652,-1
56981384,-1
56982025,-8
56982635,-2
56983368,-2
56984009,-2
56984924,-4
56985596,-4
56986267,-12
56986969,-2
56987671,-2
56988373,16
56988952,9
56989563,9
56990265,-3
56990906,-3
56991516,-2
56992218,-9
56992828,-9
56993500,15
56994049,15
56994568,-2
56995270,-22
56995941,-22
56996551,-125
56997284,-26
56998077,-26
56998718,1
56999328,1
56999847,-2
57000488,-2
57001098,-2
57001770,-2
57002472,-2
57003113,-3
57003815,-7
57004425,-7
57005188,-54
57005859,-305
57006592,-305
57007202,-207
57007873,-6
57008575,-6
57009216,-7
57009827,-7
57010498,-1
57011169,-12
57011871,-12
57012634,-5
57013367,6
57014068,6
57014587,-143
57015198,-46
57015900,-46
57016540,-36
57017273,-19
57017914,-19
57018585,-3
57019317,-3
57019958,0
57020508,-3
57021210,-3
57021911,-5
57022552,-1
57023193,-1
57023895,18
57024414,18
57025024,-135
57025635,-135
57026367,-220
57027038,-120
57027710,-120
57028381,4
57028931,3
57029541,3
57030060,-7
57030731,-7
57031433,-3
57032135,-7
57032806,-7
57033447,8
57034057,8
57034607,-2
57035431,-31
57036194,-31
57036835,-378
57037536,-17
57038269,-17
57038940,11
57039459,-1
57040161,-1
57040863,-7
57041504,-8
57042206,-8
57042816,1
57043335,1
57043854,34
57044403,34
57045074,-131
57045715,-160
57046356,-160
57046966,-163
57047577,-163
57048218,-8
57048920,-1
57049591,-1
57050232,4
57050781,4
57051300,-2
57051971,-3
57052612,-3
57053375,3
57053955,3
57054504,-235
57055145,-156
57055817,-156
57056457,-149
57057129,-149
57057800,-5
57058472,-4
57059112,-4
57059784,-3
57060425,-4
57061096,-4
57061767,-1
57062408,-1
57063171,2
57063721,8
57064300,8
57064880,-4
57065552,-4
57066254,-4
57066955,-32
57067566,-32
57068329,-7
57069092,-3
57069763,-3
57070465,-1
57071167,-9
57071838,-9
57072479,6
57073089,-6
57073791,-6
57074493,-10
57075165,-48
57075806,-48
57076446,-31
57077179,-31
57077820,1
57078369,-10
57079040,-10
57079651,0
57080231,0
57080780,0
57081329,0
57081909,-3
57082519,-1
57083130,-1
57083801,0
57084350,0
57084930,-17
57085541,-17
57086273,-82
57086944,-123
57087616,-123
57088287,-4
57088959,-1
57089630,-1
57090423,0
57091034,7
57091553,7
57092102,8
57092651,8
57093262,-4
57093963,-4
57094635,-56
57095367,-35
57096069,-35
57096802,-85
57097473,-1
57098175,-1
57098877,-3
57099579,-2
57100220,-2
57100830,-1
57101501,-2
57102112,-2
57102814,7
57103363,7
57104065,2
57104614,-92
57105377,-92
57105987,-263
57106689,-131
57107330,-131
57108032,16
57108642,16
57109314,2
57109894,4
57110443,4
57111084,3
57111633,3
57112305,0
57112884,0
57113495,-10
57114105,-16
57114838,-16
57115448,-35
57116180,-1
57116821,-1
57117523,-5
57118164,-5
57118774,-4
57119415,-3
57120117,-3
57120788,-2
57121429,-7
57122162,-7
57122803,-9
57123505,-11
57124298,-11
57125061,-213
57125732,-137
57126404,-137
57127167,-305
57127807,22
57128357,22
57128937,-3
57129547,-3
57130310,-2
57131042,-3
57131653,-3
57132324,-11
57133087,0
57133667,0
57134216,2
57134704,2
57135284,-103
57136047,-103
57136749,-210
57137421,-74
57138122,-74
57138824,2
57139374,-7
57140045,-7
57140655,-9
57141388,-10
57142029,-10
57142639,4
57143219,4
57143799,-5
57144440,-5
57145019,-50
57145630,-14
57146362,-14
57146973,-47
57147583,-47
57148254,0
57148804,-2
57149414,-2
57150177,-2
57150787,-2
57151489,0
57152099,12
57152679,12
