t,i
360595,-6
361236,-6
361969,-2
362579,-2
363281,-3
363952,-1
364715,-1
365448,-10
366149,-132
366882,-159
367523,-159
368133,-12
368866,-12
369476,-5
370086,-3
370758,-3
371429,1
371948,1
372589,-13
373260,1
373840,1
374450,-20
375152,-20
375885,-21
376525,-3
377227,-3
377868,-27
378540,3
379089,3
379730,-3
380371,-3
381042,-1
381744,1
382385,1
382965,-2
383606,-2
384216,15
384796,-14
385406,-14
386016,-33
386749,-33
387420,-52
388153,-13
388885,-13
389587,-13
390197,-5
390838,-5
391479,0
392028,0
392578,0
393188,-2
393890,-2
394531,-11
395233,-11
395965,-115
396606,-5
397308,-5
398071,-89
398712,8
399322,8
399841,2
400451,2
401062,-3
401733,2
402313,2
402862,0
403411,0
403991,14
404571,14
405090,-13
405700,-13
406402,-243
407074,-143
407775,-143
408447,-6
409149,-5
409881,-5
410492,-2
411193,-8
411895,-8
412628,-2
413208,6
413787,6
414398,8
414947,8
415527,-211
416229,-211
416961,-167
417602,-46
418243,-46
418945,8
419555,6
420105,6
420776,-1
421478,-1
422088,-5
422760,-7
423461,-7
424102,-1
424743,-1
425415,-1
426025,1
426605,1
427185,-3
427887,0
428466,0
429016,-7
429718,-7
430420,-3
431152,13
431732,13
432281,7
432891,7
433471,4
434051,4
434631,-19
435302,-250
436065,-250
436737,-296
437378,-106
438018,-106
438781,0
439392,0
439972,0
440612,-1
441314,-1
441925,-1
442718,-2
443420,-2
444030,-3
444763,5
445282,5
445892,-45
446594,-45
447265,-148
447937,-27
448608,-27
449218,4
449890,4
450470,-5
451080,1
451690,1
452240,1
452758,1
453399,11
453949,11
454559,-21
455200,-36
455841,-36
456512,-53
457153,-53
457916,-2
458557,5
459106,5
459777,-1
460479,-4
461120,-4
461822,-2
462463,-2
463165,-2
463775,-16
464416,-16
465087,1
465637,1
466156,-105
466857,-196
467529,-196
468170,2
468719,2
469329,-5
470001,-2
470642,-2
471313,-5
471923,-5
472717,-2
473358,7
473938,7
474548,10
475128,10
475738,-23
476379,-15
477081,-15
477722,18
478332,18
478851,-2
479492,-3
480102,-3
480774,-2
481445,-2
482147,-6
482910,3
483490,3
484008,2
484558,2
485107,-44
485870,-219
486511,-219
487182,-332
487823,-7
488586,-7
489318,-2
489959,-2
490600,-2
491302,3
491821,3
492492,-4
493164,0
493805,0
494445,-5
495086,-5
495727,-151
496429,-212
497131,-212
497863,-172
498535,-10
499176,-10
499847,-2
500579,-5
501220,-5
501861,-12
502533,-5
503173,-5
503845,6
504333,6
504882,-42
505584,-42
506195,-324
506927,-62
507629,-62
508239,5
508850,-9
509552,-9
510223,-2
510955,-8
511627,-8
512298,2
512878,2
513427,2
514129,-9
514831,-9
515472,-117
516174,-117
516876,-105
517578,-68
518219,-68
518890,16
519531,-4
520141,-4
520782,-2
521484,-5
522155,-5
522857,-8
523590,2
524108,2
524780,-2
525482,-2
526153,-24
526886,-41
527557,-41
528198,-14
528839,3
529357,3
529876,-4
530548,-4
531158,-8
531890,-8
532531,18
533081,-10
533783,-10
534484,-19
535156,-4
535858,-4
536529,-21
537170,-21
537872,-56
538513,3
539032,3
539642,-5
540313,-5
540924,-1
541595,-4
542236,-4
542877,-7
543487,-7
544189,6
544769,-21
545440,-21
546142,-167
546905,-248
547638,-248
548278,-27
548980,8
549530,8
550079,1
550628,1
551147,7
551727,7
552337,1
552856,1
553405,-4
554046,-4
554657,5
555236,-37
555908,-37
556579,-46
557373,-3
558075,-3
558715,-1
559417,-5
560089,-5
560730,0
561340,0
561859,-7
562591,0
563110,0
563690,4
564300,4
564849,-17
565582,-17
566314,-94
566986,-143
567779,-52
568389,-52
569030,0
569580,0
570159,0
570739,0
571289,7
571838,7
572387,-1
573120,-9
573761,-9
574310,-5
574951,-5
575653,-3
576294,-13
576965,-13
577636,-15
578308,-5
579010,-5
579620,-4
580291,-4
580963,-8
581634,-1
582214,-1
582916,-1
583618,8
584137,8
584686,-12
585388,-12
586029,-208
586761,-153
587432,-153
588134,-19
588897,2
589477,2
590026,8
590606,8
591186,-8
591888,-8
592559,12
593109,0
593719,0
594299,-10
594970,-10
595611,-41
596222,-49
596862,-49
597564,-224
598205,-224
598846,4
599334,9
599884,9
600463,-1
601135,-1
601837,-1
602508,-9
603180,-9
603881,12
604461,12
605041,-25
605743,-161
606384,-161
607086,-11
607788,-7
608398,-7
609100,6
609619,6
610199,-4
610839,-4
611541,-4
612182,7
612762,7
613311,-16
613922,-16
614593,9
615173,-305
615905,-305
616546,-219
617187,-191
617828,-191
618469,3
619049,3
619598,6
620239,6
620849,-3
621521,-2
622192,-2
622833,-10
623443,-10
624206,1
624755,-4
625457,-4
626098,-31
626831,6
627380,6
627929,-19
628601,-19
629211,2
629913,0
630493,0
631012,6
631561,6
632110,3
632782,3
633331,13
633850,13
634521,22
635040,22
635589,-150
636291,-306
636962,-306
637634,-110
638214,3
638794,3
639312,-7
639953,-7
640594,-4
641296,-4
641967,-6
642639,-2
643280,-2
643982,0
644531,-21
645202,-21
645965,-166
646637,-166
647277,-189
647949,-45
648712,-45
649322,-5
649932,6
650482,6
651062,1
651611,1
652191,9
652740,9
653320,-9
653991,8
654632,8
655212,-40
655914,-40
656585,-15
657196,-68
657867,-68
658538,3
659088,3
659637,-1
660308,-1
660919,-3
661590,-38
662292,-38
662963,-11
663726,-15
664367,-15
665039,-34
665710,-106
666412,-106
667083,-225
667755,-58
668426,-58
669159,2
669738,2
670288,-6
670959,-7
671630,-7
672241,-7
672943,3
673553,3
674102,-7
674896,-7
675537,-4
676147,-5
676910,-5
677551,-27
678222,14
678894,14
679473,-10
680114,-10
680755,-1
681427,1
682006,1
682556,-10
683197,-10
683868,6
684417,6
684967,-20
685638,-81
686279,-81
686981,-165
687744,-23
688385,-23
689056,7
689636,7
690155,-2
690857,-2
691558,-2
692199,-13
692840,-13
693542,-1
694183,-7
694854,-7
695465,-218
696197,-224
696930,-224
707550,-23
708221,3
708831,1
709472,1
710022,-11
710723,-11
711334,4
711853,8
712493,8
713043,18
713592,18
714202,27
714782,27
715393,-93
716034,-93
716766,-249
717437,-170
718017,-170
718689,-2
719390,3
720001,3
720611,2
721130,2
721771,-10
722442,-7
723144,-7
723877,5
724487,2
725097,2
725708,-20
726318,-20
727020,-14
727661,-24
728332,-24
728942,-12
729614,-12
730224,4
730804,5
731414,5
731994,0
732544,0
733123,7
733734,7
734314,-7
734924,-7
735595,-224
736297,-212
736969,-212
737640,-166
738311,1
738891,1
739715,-1
740387,-3
741088,-3
741760,-2
742431,-2
743164,-2
743896,-13
744537,-43
745208,-43
745849,-94
746490,-94
747131,-254
747894,-62
748565,-62
749206,-13
749847,-5
750549,-5
751159,-2
751800,-2
752502,-3
753112,-4
753784,-4
754425,-1
755096,-11
755737,-11
756408,-18
757110,-23
757751,-23
758392,1
758972,1
759613,-1
760223,-3
760894,-3
761566,-9
762268,-9
762939,-9
763610,-7
764282,-7
764984,14
765533,-148
766143,-148
766906,-274
767639,-39
768219,-39
768920,14
769531,14
